value;film_id;film_title
Horror;51471;Nosferatu
Fantasy;51471;Nosferatu
Horror, the undead and monster classics;51471;Nosferatu
Creepy, chilling, and terrifying horror;51471;Nosferatu
Terrifying, haunted, and supernatural horror;51471;Nosferatu
Gothic and eerie haunting horror;51471;Nosferatu
Bloody vampire horror;51471;Nosferatu
Chilling experiments and classic monster horror;51471;Nosferatu
Crime;45489;Fallen Angels
Romance;45489;Fallen Angels
Action;45489;Fallen Angels
Humanity and the world around us;45489;Fallen Angels
Surreal and thought-provoking visions of life and death;45489;Fallen Angels
Captivating relationships and charming romance;45489;Fallen Angels
Heartfelt and sentimental family stories;45489;Fallen Angels
Dreamlike, quirky, and surreal storytelling;45489;Fallen Angels
Tragic sadness and captivating beauty;45489;Fallen Angels
Comedy;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
War;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Crude humor and satire;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
War and historical adventure;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Politics and human rights;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Amusing jokes and witty satire;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Gags, jokes, and slapstick humor;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Dangerous technology and the apocalypse;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Riveting political and presidential drama;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Bravery in War;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Mystery;34848;Meshes of the Afternoon
Adventure;51494;The Wizard of Oz
Fantasy;51494;The Wizard of Oz
Family;51494;The Wizard of Oz
Song and dance;51494;The Wizard of Oz
Fairy-tale fantasy and enchanted magic;51494;The Wizard of Oz
Dazzling vocal performances and musicals;51494;The Wizard of Oz
Emotional and captivating fantasy storytelling;51494;The Wizard of Oz
Holiday joy and heartwarming Christmas;51494;The Wizard of Oz
Adorable animals and heartwarming families;51494;The Wizard of Oz
Horror;51230;Dawn of the Dead
Science Fiction;51230;Dawn of the Dead
Horror, the undead and monster classics;51230;Dawn of the Dead
Intense violence and sexual transgression;51230;Dawn of the Dead
Survival horror and zombie carnage;51230;Dawn of the Dead
Gory, gruesome, and slasher horror;51230;Dawn of the Dead
Sci-fi horror, creatures, and aliens;51230;Dawn of the Dead
Terrifying, haunted, and supernatural horror;51230;Dawn of the Dead
Extreme gory horror and cannibalism;51230;Dawn of the Dead
Drama;97190;The Company of Strangers
Adventure;97190;The Company of Strangers
Moving relationship stories;97190;The Company of Strangers
Powerful stories of heartbreak and suffering;97190;The Company of Strangers
Heartbreaking and moving family drama;97190;The Company of Strangers
Drama;43921;Tokyo Godfathers
Comedy;43921;Tokyo Godfathers
Animation;43921;Tokyo Godfathers
Moving relationship stories;43921;Tokyo Godfathers
Emotional and captivating fantasy storytelling;43921;Tokyo Godfathers
Holiday joy and heartwarming Christmas;43921;Tokyo Godfathers
Heartfelt and sentimental family stories;43921;Tokyo Godfathers
Powerful stories of heartbreak and suffering;43921;Tokyo Godfathers
Heartbreaking and moving family drama;43921;Tokyo Godfathers
Crime;48894;Kiss Kiss Bang Bang
Thriller;48894;Kiss Kiss Bang Bang
Mystery;48894;Kiss Kiss Bang Bang
Comedy;48894;Kiss Kiss Bang Bang
Crude humor and satire;48894;Kiss Kiss Bang Bang
Thrillers and murder mysteries;48894;Kiss Kiss Bang Bang
Gags, jokes, and slapstick humor;48894;Kiss Kiss Bang Bang
Amusing jokes and witty satire;48894;Kiss Kiss Bang Bang
Action comedy and silly heroics;48894;Kiss Kiss Bang Bang
Noir and dark crime dramas;48894;Kiss Kiss Bang Bang
Spooky, scary comedy;48894;Kiss Kiss Bang Bang
Horror;838140;The Substance
Thriller;838140;The Substance
Science Fiction;838140;The Substance
Intense violence and sexual transgression;838140;The Substance
Humanity and the world around us;838140;The Substance
Challenging or sexual themes & twists;838140;The Substance
Surreal and thought-provoking visions of life and death;838140;The Substance
Dreamlike, quirky, and surreal storytelling;838140;The Substance
Twisted dark psychological thriller;838140;The Substance
Gothic and eerie haunting horror;838140;The Substance
Thriller;51624;Shaft
Crime;51624;Shaft
Action;51624;Shaft
Crime, drugs and gangsters;51624;Shaft
Gritty crime and ruthless gangsters;51624;Shaft
Violent action, guns, and crime;51624;Shaft
Violent crime and drugs;51624;Shaft
Heists and thrilling action;51624;Shaft
Fantasy;359505;Nosferatu
Horror;359505;Nosferatu
Horror, the undead and monster classics;359505;Nosferatu
Intense violence and sexual transgression;359505;Nosferatu
Humanity and the world around us;359505;Nosferatu
Terrifying, haunted, and supernatural horror;359505;Nosferatu
Creepy, chilling, and terrifying horror;359505;Nosferatu
Gothic and eerie haunting horror;359505;Nosferatu
Bloody vampire horror;359505;Nosferatu
Twisted dark psychological thriller;359505;Nosferatu
Drama;959540;Anora
Romance;959540;Anora
Comedy;959540;Anora
Relationship comedy;959540;Anora
Moving relationship stories;959540;Anora
Crude humor and satire;959540;Anora
Humanity and the world around us;959540;Anora
Erotic relationships and desire;959540;Anora
Quirky and endearing relationships;959540;Anora
Laugh-out-loud relationship entanglements;959540;Anora
Heartfelt and sentimental family stories;959540;Anora
Passion and romance;959540;Anora
Horror;47555;Eight Legged Freaks
Thriller;47555;Eight Legged Freaks
Comedy;47555;Eight Legged Freaks
Action;47555;Eight Legged Freaks
Crude humor and satire;47555;Eight Legged Freaks
Horror, the undead and monster classics;47555;Eight Legged Freaks
Monsters, aliens, sci-fi and the apocalypse;47555;Eight Legged Freaks
Sci-fi horror, creatures, and aliens;47555;Eight Legged Freaks
Action comedy and silly heroics;47555;Eight Legged Freaks
Spooky, scary comedy;47555;Eight Legged Freaks
Sci-fi monster and dinosaur adventures;47555;Eight Legged Freaks
Gags, jokes, and slapstick humor;47555;Eight Legged Freaks
Thriller;977172;Companion
Science Fiction;977172;Companion
Horror;977172;Companion
Intense violence and sexual transgression;977172;Companion
Humanity and the world around us;977172;Companion
Relationship comedy;977172;Companion
Horror, the undead and monster classics;977172;Companion
Twisted dark psychological thriller;977172;Companion
Thought-provoking sci-fi action and future technology;977172;Companion
Terrifying, haunted, and supernatural horror;977172;Companion
Intense political and terrorist thrillers;977172;Companion
Comedy;739691;Dream Scenario
Fantasy;739691;Dream Scenario
Crude humor and satire;739691;Dream Scenario
Horror, the undead and monster classics;739691;Dream Scenario
Dreamlike, quirky, and surreal storytelling;739691;Dream Scenario
Surreal and thought-provoking visions of life and death;739691;Dream Scenario
Funny jokes and crude humor;739691;Dream Scenario
Adventure;47254;The Goonies
Family;47254;The Goonies
Comedy;47254;The Goonies
Crude humor and satire;47254;The Goonies
Kids' animated fun and adventure;47254;The Goonies
Teen school antics and laughter;47254;The Goonies
Fairy-tale fantasy and enchanted magic;47254;The Goonies
Teen friendship and coming-of-age;47254;The Goonies
Adorable animals and heartwarming families;47254;The Goonies
Horror;31640;At Midnight I'll Take Your Soul
Thriller;31640;At Midnight I'll Take Your Soul
Fantasy;31640;At Midnight I'll Take Your Soul
Horror, the undead and monster classics;31640;At Midnight I'll Take Your Soul
Intense violence and sexual transgression;31640;At Midnight I'll Take Your Soul
Terrifying, haunted, and supernatural horror;31640;At Midnight I'll Take Your Soul
Creepy, chilling, and terrifying horror;31640;At Midnight I'll Take Your Soul
Graphic violence and brutal revenge;31640;At Midnight I'll Take Your Soul
Gory, gruesome, and slasher horror;31640;At Midnight I'll Take Your Soul
Gothic and eerie haunting horror;31640;At Midnight I'll Take Your Soul
Fantasy;51620;The Seventh Seal
Drama;51620;The Seventh Seal
Faith and religion;51620;The Seventh Seal
Humanity and the world around us;51620;The Seventh Seal
Religious faith, sin, and forgiveness;51620;The Seventh Seal
Surreal and thought-provoking visions of life and death;51620;The Seventh Seal
Faith and spiritual journeys;51620;The Seventh Seal
Powerful poetic and passionate drama;51620;The Seventh Seal
Terrifying, haunted, and supernatural horror;51620;The Seventh Seal
Drama;46762;Ginger Snaps
Horror;46762;Ginger Snaps
Thriller;46762;Ginger Snaps
Fantasy;46762;Ginger Snaps
Horror, the undead and monster classics;46762;Ginger Snaps
Intense violence and sexual transgression;46762;Ginger Snaps
Gory, gruesome, and slasher horror;46762;Ginger Snaps
Gothic and eerie haunting horror;46762;Ginger Snaps
Terrifying, haunted, and supernatural horror;46762;Ginger Snaps
Creepy, chilling, and terrifying horror;46762;Ginger Snaps
Survival horror and zombie carnage;46762;Ginger Snaps
Comedy;44012;Death Race 2000
Action;44012;Death Race 2000
Science Fiction;44012;Death Race 2000
High speed and special ops;44012;Death Race 2000
Adrenaline-fueled action and fast cars;44012;Death Race 2000
Action comedy and silly heroics;44012;Death Race 2000
Explosive and action-packed heroes vs. villains;44012;Death Race 2000
Funny jokes and crude humor;44012;Death Race 2000
Thriller;28440;Do or Die
Crime;51707;Raising Arizona
Comedy;51707;Raising Arizona
Crude humor and satire;51707;Raising Arizona
Relationship comedy;51707;Raising Arizona
Gags, jokes, and slapstick humor;51707;Raising Arizona
Funny jokes and crude humor;51707;Raising Arizona
Laugh-out-loud relationship entanglements;51707;Raising Arizona
Amusing jokes and witty satire;51707;Raising Arizona
Quirky and endearing relationships;51707;Raising Arizona
Thriller;46175;Perfect Blue
Animation;46175;Perfect Blue
Horror;46175;Perfect Blue
Intense violence and sexual transgression;46175;Perfect Blue
Horror, the undead and monster classics;46175;Perfect Blue
Twisted dark psychological thriller;46175;Perfect Blue
Terrifying, haunted, and supernatural horror;46175;Perfect Blue
Gothic and eerie haunting horror;46175;Perfect Blue
Dreamlike, quirky, and surreal storytelling;46175;Perfect Blue
Gory, gruesome, and slasher horror;46175;Perfect Blue
Action;192720;A Hard Day
Thriller;192720;A Hard Day
Mystery;192720;A Hard Day
Crime;192720;A Hard Day
Epic heroes;192720;A Hard Day
Suspenseful crime thrillers;192720;A Hard Day
Heists and thrilling action;192720;A Hard Day
Adrenaline-fueled action and fast cars;192720;A Hard Day
Romance;41291;The Last Days of Disco
Comedy;41291;The Last Days of Disco
Drama;41291;The Last Days of Disco
Song and dance;41291;The Last Days of Disco
Teen school antics and laughter;41291;The Last Days of Disco
Science Fiction;49930;Frankenstein
Drama;49930;Frankenstein
Horror;49930;Frankenstein
Horror, the undead and monster classics;49930;Frankenstein
Humanity and the world around us;49930;Frankenstein
Chilling experiments and classic monster horror;49930;Frankenstein
Creepy, chilling, and terrifying horror;49930;Frankenstein
Terrifying, haunted, and supernatural horror;49930;Frankenstein
Gory, gruesome, and slasher horror;49930;Frankenstein
Gothic and eerie haunting horror;49930;Frankenstein
Music;26694;Ó Paí, Ó: Look at This
Animation;373808;Wolfwalkers
Family;373808;Wolfwalkers
Fantasy;373808;Wolfwalkers
Adventure;373808;Wolfwalkers
Emotional and captivating fantasy storytelling;373808;Wolfwalkers
Fairy-tale fantasy and enchanted magic;373808;Wolfwalkers
Adorable animals and heartwarming families;373808;Wolfwalkers
Captivating relationships and charming romance;373808;Wolfwalkers
Holiday joy and heartwarming Christmas;373808;Wolfwalkers
Fantasy;21517;The Heroic Trio
Action;21517;The Heroic Trio
Thriller;21517;The Heroic Trio
Science Fiction;21517;The Heroic Trio
Adventure;21517;The Heroic Trio
Epic heroes;21517;The Heroic Trio
Intense combat and martial arts;21517;The Heroic Trio
Fantasy adventure, heroism, and swordplay;21517;The Heroic Trio
Action comedy and silly heroics;21517;The Heroic Trio
Superheroes in action-packed battles with villains;21517;The Heroic Trio
Comedy;446482;Paddington in Peru
Family;446482;Paddington in Peru
Adventure;446482;Paddington in Peru
Kids' animated fun and adventure;446482;Paddington in Peru
Adorable animals and heartwarming families;446482;Paddington in Peru
Holiday joy and heartwarming Christmas;446482;Paddington in Peru
Laugh-out-loud relationship entanglements;446482;Paddington in Peru
Gags, jokes, and slapstick humor;446482;Paddington in Peru
Action;395072;Shadow
War;395072;Shadow
Epic heroes;395072;Shadow
Humanity and the world around us;395072;Shadow
Epic history and literature;395072;Shadow
Intense combat and martial arts;395072;Shadow
Historical battles and epic heroism;395072;Shadow
Captivating vision and Shakespearean drama;395072;Shadow
Fantasy adventure, heroism, and swordplay;395072;Shadow
Lavish dramas and sumptuous royalty;395072;Shadow
Science Fiction;957050;Superman
Adventure;957050;Superman
Action;957050;Superman
Epic heroes;957050;Superman
Superheroes in action-packed battles with villains;957050;Superman
Action comedy and silly heroics;957050;Superman
Thought-provoking sci-fi action and future technology;957050;Superman
Fantasy adventure, heroism, and swordplay;957050;Superman
Explosive and action-packed heroes vs. villains;957050;Superman
Drama;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Comedy;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Crude humor and satire;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Gags, jokes, and slapstick humor;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Amusing jokes and witty satire;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Laugh-out-loud relationship entanglements;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Funny jokes and crude humor;47354;To Wong Foo, Thanks for Everything! Julie Newmar
Action;51291;Total Recall
Adventure;51291;Total Recall
Science Fiction;51291;Total Recall
High speed and special ops;51291;Total Recall
Monsters, aliens, sci-fi and the apocalypse;51291;Total Recall
Epic heroes;51291;Total Recall
Superheroes in action-packed battles with villains;51291;Total Recall
Thought-provoking sci-fi action and future technology;51291;Total Recall
Explosive and action-packed heroes vs. villains;51291;Total Recall
Action-packed space and alien sagas;51291;Total Recall
Imaginative space odysseys and alien encounters;51291;Total Recall
Action;51946;Run Lola Run
Thriller;51946;Run Lola Run
Drama;51946;Run Lola Run
High speed and special ops;51946;Run Lola Run
Heists and thrilling action;51946;Run Lola Run
War;51047;Pan's Labyrinth
Drama;51047;Pan's Labyrinth
Fantasy;51047;Pan's Labyrinth
Humanity and the world around us;51047;Pan's Labyrinth
Horror, the undead and monster classics;51047;Pan's Labyrinth
Intense violence and sexual transgression;51047;Pan's Labyrinth
Moving relationship stories;51047;Pan's Labyrinth
War and historical adventure;51047;Pan's Labyrinth
Creepy, chilling, and terrifying horror;51047;Pan's Labyrinth
Terrifying, haunted, and supernatural horror;51047;Pan's Labyrinth
Gory, gruesome, and slasher horror;51047;Pan's Labyrinth
Surreal and thought-provoking visions of life and death;51047;Pan's Labyrinth
Graphic violence and brutal revenge;51047;Pan's Labyrinth
Science Fiction;50894;Bill & Ted's Excellent Adventure
Adventure;50894;Bill & Ted's Excellent Adventure
Comedy;50894;Bill & Ted's Excellent Adventure
Crude humor and satire;50894;Bill & Ted's Excellent Adventure
Underdogs and coming of age;50894;Bill & Ted's Excellent Adventure
Gags, jokes, and slapstick humor;50894;Bill & Ted's Excellent Adventure
Teen school antics and laughter;50894;Bill & Ted's Excellent Adventure
Funny jokes and crude humor;50894;Bill & Ted's Excellent Adventure
Amusing jokes and witty satire;50894;Bill & Ted's Excellent Adventure
Catchy songs and hilarious musical comedy;50894;Bill & Ted's Excellent Adventure
Science Fiction;51827;Bride of Frankenstein
Horror;51827;Bride of Frankenstein
Horror, the undead and monster classics;51827;Bride of Frankenstein
Chilling experiments and classic monster horror;51827;Bride of Frankenstein
Creepy, chilling, and terrifying horror;51827;Bride of Frankenstein
Terrifying, haunted, and supernatural horror;51827;Bride of Frankenstein
Gothic and eerie haunting horror;51827;Bride of Frankenstein
Spooky, scary comedy;51827;Bride of Frankenstein
Comedy;34615;Phantom of the Paradise
Horror;34615;Phantom of the Paradise
Music;34615;Phantom of the Paradise
Song and dance;34615;Phantom of the Paradise
Legendary musicians and stardom;34615;Phantom of the Paradise
Dazzling vocal performances and musicals;34615;Phantom of the Paradise
Catchy songs and hilarious musical comedy;34615;Phantom of the Paradise
Emotional life of renowned artists;34615;Phantom of the Paradise
Dreamlike, quirky, and surreal storytelling;34615;Phantom of the Paradise
Drama;277413;Swiss Army Man
Fantasy;277413;Swiss Army Man
Comedy;277413;Swiss Army Man
Adventure;277413;Swiss Army Man
Romance;277413;Swiss Army Man
Crude humor and satire;277413;Swiss Army Man
Humanity and the world around us;277413;Swiss Army Man
Moving relationship stories;277413;Swiss Army Man
Relationship comedy;277413;Swiss Army Man
Surreal and thought-provoking visions of life and death;277413;Swiss Army Man
Dreamlike, quirky, and surreal storytelling;277413;Swiss Army Man
Funny jokes and crude humor;277413;Swiss Army Man
Quirky and endearing relationships;277413;Swiss Army Man
Laugh-out-loud relationship entanglements;277413;Swiss Army Man
Comedy;51744;Faster, Pussycat! Kill! Kill!
Thriller;51744;Faster, Pussycat! Kill! Kill!
Crime;51744;Faster, Pussycat! Kill! Kill!
Action;51744;Faster, Pussycat! Kill! Kill!
Epic heroes;51744;Faster, Pussycat! Kill! Kill!
Adrenaline-fueled action and fast cars;51744;Faster, Pussycat! Kill! Kill!
Graphic violence and brutal revenge;51744;Faster, Pussycat! Kill! Kill!
Challenging or sexual themes & twists;51744;Faster, Pussycat! Kill! Kill!
Science Fiction;47367;Tarantula
Horror;47367;Tarantula
Horror, the undead and monster classics;47367;Tarantula
Monsters, aliens, sci-fi and the apocalypse;47367;Tarantula
Chilling experiments and classic monster horror;47367;Tarantula
Sci-fi horror, creatures, and aliens;47367;Tarantula
Sci-fi monster and dinosaur adventures;47367;Tarantula
Imaginative space odysseys and alien encounters;47367;Tarantula
Thought-provoking sci-fi action and future technology;47367;Tarantula
Fantasy;34941;Troll 2
Horror;34941;Troll 2
Horror, the undead and monster classics;34941;Troll 2
Terrifying, haunted, and supernatural horror;34941;Troll 2
Funny jokes and crude humor;34941;Troll 2
Kids' animated fun and adventure;34941;Troll 2
Creepy, chilling, and terrifying horror;34941;Troll 2
Chilling experiments and classic monster horror;34941;Troll 2
Crime;1104348;The Secret Agent
Thriller;1104348;The Secret Agent
Drama;1104348;The Secret Agent
Politics and human rights;1104348;The Secret Agent
Intense political and terrorist thrillers;1104348;The Secret Agent
Riveting political and presidential drama;1104348;The Secret Agent
Violent crime and drugs;1104348;The Secret Agent
Surreal and thought-provoking visions of life and death;1104348;The Secret Agent
Powerful poetic and passionate drama;1104348;The Secret Agent
Thriller;44925;Yojimbo
Drama;44925;Yojimbo
Epic heroes;44925;Yojimbo
Westerns;44925;Yojimbo
Crime, drugs and gangsters;44925;Yojimbo
Gritty crime and ruthless gangsters;44925;Yojimbo
Violent action, guns, and crime;44925;Yojimbo
Superheroes in action-packed battles with villains;44925;Yojimbo
Wild west outlaws and gunfights;44925;Yojimbo
Fantasy adventure, heroism, and swordplay;44925;Yojimbo
Adventure;43471;The Last Dragon
Music;43471;The Last Dragon
Drama;43471;The Last Dragon
Comedy;43471;The Last Dragon
Action;43471;The Last Dragon
Epic heroes;43471;The Last Dragon
Intense combat and martial arts;43471;The Last Dragon
Action comedy and silly heroics;43471;The Last Dragon
Fantasy adventure, heroism, and swordplay;43471;The Last Dragon
Superheroes in action-packed battles with villains;43471;The Last Dragon
Dance rhythms and catchy tunes;43471;The Last Dragon
Drama;755564;The Holdovers
Comedy;755564;The Holdovers
Moving relationship stories;755564;The Holdovers
Underdogs and coming of age;755564;The Holdovers
Student coming-of-age challenges;755564;The Holdovers
Emotional and heartfelt family dramas;755564;The Holdovers
Heartfelt and sentimental family stories;755564;The Holdovers
Quirky and endearing relationships;755564;The Holdovers
Emotional teen coming-of-age stories;755564;The Holdovers
Comedy;50163;Batman
Action;50163;Batman
Crime;50163;Batman
Crude humor and satire;50163;Batman
Action comedy and silly heroics;50163;Batman
Gags, jokes, and slapstick humor;50163;Batman
Amusing jokes and witty satire;50163;Batman
Funny jokes and crude humor;50163;Batman
Catchy songs and hilarious musical comedy;50163;Batman
Science Fiction;51664;Cube
Horror;51664;Cube
Thriller;51664;Cube
Mystery;51664;Cube
Horror, the undead and monster classics;51664;Cube
Monsters, aliens, sci-fi and the apocalypse;51664;Cube
Intense violence and sexual transgression;51664;Cube
Humanity and the world around us;51664;Cube
Twisted dark psychological thriller;51664;Cube
Sci-fi horror, creatures, and aliens;51664;Cube
Gory, gruesome, and slasher horror;51664;Cube
Terrifying, haunted, and supernatural horror;51664;Cube
Gothic and eerie haunting horror;51664;Cube
Drama;29884;Millennium Actress
Romance;29884;Millennium Actress
Animation;29884;Millennium Actress
Fantasy;29884;Millennium Actress
Humanity and the world around us;29884;Millennium Actress
Emotional and captivating fantasy storytelling;29884;Millennium Actress
Surreal and thought-provoking visions of life and death;29884;Millennium Actress
Powerful poetic and passionate drama;29884;Millennium Actress
Captivating relationships and charming romance;29884;Millennium Actress
Dreamlike, quirky, and surreal storytelling;29884;Millennium Actress
Horror;41742;Jesus Christ Vampire Hunter
Action;41742;Jesus Christ Vampire Hunter
Comedy;41742;Jesus Christ Vampire Hunter
Crude humor and satire;41742;Jesus Christ Vampire Hunter
Funny jokes and crude humor;41742;Jesus Christ Vampire Hunter
Action comedy and silly heroics;41742;Jesus Christ Vampire Hunter
Gags, jokes, and slapstick humor;41742;Jesus Christ Vampire Hunter
Bloody vampire horror;41742;Jesus Christ Vampire Hunter
Amusing jokes and witty satire;41742;Jesus Christ Vampire Hunter
Adventure;51930;The Lord of the Rings: The Fellowship of the Ring
Action;51930;The Lord of the Rings: The Fellowship of the Ring
Fantasy;51930;The Lord of the Rings: The Fellowship of the Ring
Epic heroes;51930;The Lord of the Rings: The Fellowship of the Ring
Humanity and the world around us;51930;The Lord of the Rings: The Fellowship of the Ring
Fantasy adventure, heroism, and swordplay;51930;The Lord of the Rings: The Fellowship of the Ring
Epic adventure and breathtaking battles;51930;The Lord of the Rings: The Fellowship of the Ring
Superheroes in action-packed battles with villains;51930;The Lord of the Rings: The Fellowship of the Ring
Emotional and captivating fantasy storytelling;51930;The Lord of the Rings: The Fellowship of the Ring
Historical battles and epic heroism;51930;The Lord of the Rings: The Fellowship of the Ring
Action;51929;The Lord of the Rings: The Two Towers
Fantasy;51929;The Lord of the Rings: The Two Towers
Adventure;51929;The Lord of the Rings: The Two Towers
Epic heroes;51929;The Lord of the Rings: The Two Towers
Fantasy adventure, heroism, and swordplay;51929;The Lord of the Rings: The Two Towers
Superheroes in action-packed battles with villains;51929;The Lord of the Rings: The Two Towers
Epic adventure and breathtaking battles;51929;The Lord of the Rings: The Two Towers
Historical battles and epic heroism;51929;The Lord of the Rings: The Two Towers
Emotional and captivating fantasy storytelling;51929;The Lord of the Rings: The Two Towers
Action;51928;The Lord of the Rings: The Return of the King
Fantasy;51928;The Lord of the Rings: The Return of the King
Adventure;51928;The Lord of the Rings: The Return of the King
Epic heroes;51928;The Lord of the Rings: The Return of the King
Humanity and the world around us;51928;The Lord of the Rings: The Return of the King
Fantasy adventure, heroism, and swordplay;51928;The Lord of the Rings: The Return of the King
Epic adventure and breathtaking battles;51928;The Lord of the Rings: The Return of the King
Superheroes in action-packed battles with villains;51928;The Lord of the Rings: The Return of the King
Emotional and captivating fantasy storytelling;51928;The Lord of the Rings: The Return of the King
Captivating vision and Shakespearean drama;51928;The Lord of the Rings: The Return of the King
Comedy;47221;Death Becomes Her
Fantasy;47221;Death Becomes Her
Horror;47221;Death Becomes Her
Crude humor and satire;47221;Death Becomes Her
Spooky, scary comedy;47221;Death Becomes Her
Gags, jokes, and slapstick humor;47221;Death Becomes Her
Funny jokes and crude humor;47221;Death Becomes Her
Amusing jokes and witty satire;47221;Death Becomes Her
Laugh-out-loud relationship entanglements;47221;Death Becomes Her
Action;51287;The Running Man
Thriller;51287;The Running Man
Science Fiction;51287;The Running Man
Epic heroes;51287;The Running Man
Brutal, violent prison drama;51287;The Running Man
Superheroes in action-packed battles with villains;51287;The Running Man
Explosive and action-packed heroes vs. villains;51287;The Running Man
Violent action, guns, and crime;51287;The Running Man
Thought-provoking sci-fi action and future technology;51287;The Running Man
Drama;51821;Stand by Me
Crime;51821;Stand by Me
Underdogs and coming of age;51821;Stand by Me
Moving relationship stories;51821;Stand by Me
Emotional and heartfelt family dramas;51821;Stand by Me
Emotional teen coming-of-age stories;51821;Stand by Me
Heartfelt and sentimental family stories;51821;Stand by Me
Powerful stories of heartbreak and suffering;51821;Stand by Me
Student coming-of-age challenges;51821;Stand by Me
